tract,Community_Name,Beds Available,Unsheltered Homeless People,SOD
192420,Miracle Mile,0,1,-1
192510,Wilshire Center-Koreatown,0,15,-15
192520,Wilshire Center-Koreatown,0,1,-1
192610,Wilshire Center-Koreatown,0,82,-82
192620,Wilshire Center-Koreatown,0,32,-32
192700,Hollywood,140,117,23
194101,Hollywood Hills West,0,7,-7
194102,Hollywood Hills West,0,15,-15
194200,Bel Air-Beverly Crest,0,0,0
194300,Bel Air-Beverly Crest,0,0,0
194401,Mid-City West,0,7,-7
194402,Mid-City West,0,10,-10
194500,Mid-City West,0,50,-50
195100,Silver Lake,0,2,-2
195201,Los Feliz,0,0,0
195202,Los Feliz,0,4,-4
195300,Los Feliz,0,26,-26
195400,Silver Lake,0,28,-28
195500,Silver Lake,0,22,-22
195600,Echo Park,42,34,8
195710,Echo Park,365,45,320
195720,Echo Park,0,30,-30
195802,Rampart Village,0,57,-57
195803,Silver Lake,0,6,-6
195804,Silver Lake,0,31,-31
195901,Silver Lake,0,7,-7
195902,Silver Lake,0,0,0
195903,Silver Lake,0,14,-14
197200,Elysian Valley,0,20,-20
197300,Echo Park,0,2,-2
197410,Echo Park,0,8,-8
197420,Echo Park,72,4,68
197500,Echo Park,31,80,-49
197600,Echo Park,0,30,-30
197700,Chinatown,0,2,-2
199000,Lincoln Heights,0,102,-102
199110,El Sereno,69,2,67
199120,Lincoln Heights,0,24,-24
199201,Lincoln Heights,0,35,-35
199202,Lincoln Heights,0,1,-1
199300,Eagle Rock,0,8,-8
199400,Eagle Rock,0,17,-17
199700,Lincoln Heights,0,18,-18
199800,Lincoln Heights,0,9,-9
199900,Lincoln Heights,0,15,-15
201110,El Sereno,0,14,-14
201120,El Sereno,0,15,-15
201200,El Sereno,0,12,-12
201301,El Sereno,0,20,-20
201302,Eagle Rock,0,4,-4
201401,El Sereno,0,13,-13
201402,El Sereno,0,6,-6
201501,El Sereno,0,15,-15
201503,El Sereno,0,2,-2
201504,El Sereno,0,11,-11
201601,El Sereno,0,10,-10
201602,El Sereno,0,34,-34
201700,El Sereno,0,8,-8
203100,Boyle Heights,0,0,0
203200,Boyle Heights,0,3,-3
203300,Lincoln Heights,0,22,-22
203500,Boyle Heights,0,42,-42
203600,Boyle Heights,0,3,-3
203710,Boyle Heights,0,0,0
203720,Boyle Heights,0,3,-3
203800,Boyle Heights,0,4,-4
203900,Boyle Heights,0,17,-17
204110,Boyle Heights,0,15,-15
204120,Boyle Heights,0,0,0
204200,Boyle Heights,0,3,-3
204300,Boyle Heights,0,12,-12
204410,Boyle Heights,0,7,-7
204420,Boyle Heights,153,3,150
204600,Boyle Heights,0,30,-30
204700,Boyle Heights,0,49,-49
204810,Boyle Heights,0,11,-11
204820,Boyle Heights,0,10,-10
204910,Boyle Heights,0,3,-3
204920,Boyle Heights,0,33,-33
205110,Boyle Heights,0,6,-6
205120,Boyle Heights,72,35,37
206010,Chinatown,0,20,-20
206020,Chinatown,0,22,-22
206031,Downtown Los Angeles,0,139,-139
206032,Boyle Heights,84,85,-1
206050,Boyle Heights,0,41,-41
206200,Skid Row,132,519,-387
206300,Skid Row,2464,1211,1253
207101,Chinatown,0,65,-65
207102,Chinatown,0,189,-189
207103,Chinatown,0,11,-11
207301,Skid Row,550,148,402
207302,Skid Row,0,60,-60
207400,Downtown Los Angeles,0,129,-129
207501,Downtown Los Angeles,0,19,-19
207502,Downtown Los Angeles,0,55,-55
207710,Downtown Los Angeles,66,101,-35
207900,Downtown Los Angeles,0,81,-81
208000,Echo Park,0,28,-28
208301,Westlake,0,3,-3
208302,Westlake,123,4,119
208401,Echo Park,0,6,-6
208402,Echo Park,0,44,-44
208501,Echo Park,0,28,-28
208502,Echo Park,0,19,-19
208610,Rampart Village,80,22,58
208620,Rampart Village,0,9,-9
208710,Rampart Village,0,9,-9
208720,Westlake,186,25,161
208801,Westlake,0,264,-264
208802,Westlake,0,12,-12
208902,Westlake,0,14,-14
208903,Westlake,401,35,366
208904,Westlake,0,6,-6
209102,Westlake,29,29,0
209103,Westlake,0,1,-1
209104,Westlake,110,2,108
209200,Downtown Los Angeles,0,31,-31
209300,Westlake,0,51,-51
209401,Westlake,0,47,-47
209402,Westlake,0,25,-25
209403,Westlake,0,16,-16
209510,Westlake,0,34,-34
209520,Westlake,0,44,-44
209810,Pico Union,0,5,-5
209820,Pico Union,0,2,-2
210010,Pico Union,0,35,-35
211000,Miracle Mile,0,9,-9
211120,Rampart Village,0,49,-49
211121,Rampart Village,0,33,-33
211122,Rampart Village,0,71,-71
211201,Wilshire Center-Koreatown,0,2,-2
211202,Wilshire Center-Koreatown,0,3,-3
211310,Wilshire Center-Koreatown,0,0,0
